Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,ratingsCount,Price
The Crusades: Islamic Perspectives,"This comprehensive work of cultural history gives us something we have never had: a view of the Crusades as seen through Muslim eyes. With breathtaking command of medieval Muslim sources as well as the vast literature on medieval European and Muslim culture, Carole Hillenbrand has produced a book that shows not only how the Crusades were perceived by the Muslims, but how the Crusades affected the Muslim world - militarily, culturally, and psychologically. As the author demonstrates, that influence continues now, centuries after the events. In The Crusades the reader discovers how the Muslims reacted to the Franks, and how Muslim populations were displaced, the ensuing period of jihad, the careers of Nur al-Din and Saladin, and the interpenetration of Muslim and Christian cultures. Stereotypes of the Franks in Muslim documents offer a fascinating counter to Western views of the infidel of legend. For readers interested in the Middle Ages, military history, the history of religion, and postcolonial studies, The Crusades opens a window onto a conflict we have only viewed from one side. The Crusades is richly illustrated, with eighteen color plates and over five hundred line drawings and black and white photographs.",Carole Hillenbrand,http://books.google.com/books/content?id=UalnoF5MBHMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=UalnoF5MBHMC&printsec=frontcover&dq=The+Crusades:+Islamic+Perspectives&hl=&cd=1&source=gbs_api,Psychology Press,2000,http://books.google.com/books?id=UalnoF5MBHMC&dq=The+Crusades:+Islamic+Perspectives&hl=&source=gbs_api,1.0,29.704370023320795
He Shines in All That's Fair: Culture and Common Grace,"A robust discussion of common grace -- of great value to anyone interested in the relation of church and culture. Asking how Christians can account for the presence of goodness in a fallen world, Richard Mouw reinterprets the historic insights of Calvinism for life in the twenty-first century. Now available in paperback.",Richard J. Mouw,http://books.google.com/books/content?id=0NcsESHD6CIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=0NcsESHD6CIC&printsec=frontcover&dq=He+Shines+in+All+That%27s+Fair:+Culture+and+Common+Grace&hl=&cd=1&source=gbs_api,Wm. B. Eerdmans Publishing,2002-08-23,http://books.google.nl/books?id=0NcsESHD6CIC&dq=He+Shines+in+All+That%27s+Fair:+Culture+and+Common+Grace&hl=&source=gbs_api,1.0,2.8
Convincing Minds and Moving Hearts,"A History of Preachingbrings together narrative history and primary sources to provide the most comprehensive guide available to the story of the church's ministry of proclamation. Bringing together an impressive array of familiar and lesser-known figures, Edwards paints a detailed, compelling picture of what it has meant to preach the gospel. Pastors, scholars, and students of homiletics will find here many opportunities to enrich their understanding and practice of preaching. Volume 1, appearing in the print edition, contains Edwards's magisterial retelling of the story of Christian preaching's development from its Hellenistic and Jewish roots in the New Testament, through the late-twentieth century's discontent with outdated forms and emphasis on new modes of preaching such as narrative. Along the way the author introduces us to the complexities and contributions of preachers, both with whom we are already acquainted, and to whom we will be introduced here for the first time. Origen, Chrysostom, Augustine, Bernard, Aquinas, Luther, Calvin, Wesley, Edwards, Rauschenbusch, Barth; all of their distinctive contributions receive careful attention. Yet lesser-known figures and developments also appear, from the ninth-century reform of preaching championed by Hrabanus Maurus, to the reference books developed in the thirteenth and fourteenth centuries by the mendicant orders to assist their members' preaching, to Howell Harris and Daniel Rowlands, preachers of the eighteenth-century Welsh revival, to Helen Kenyon, speaking as a layperson at the 1950 Yale Beecher lectures about the view of preaching from the pew. Volume 2, contained on the enclosed CD-ROM, contains primary source material on preaching drawn from the entire scope of the church's twenty centuries. The author has written an introduction to each selection, placing it in its historical context and pointing to its particular contribution. Each chapter in Volume 2 is geared to its companion chapter in Volume 1's narrative history. Ecumenical in scope, fair-minded in presentation, appreciative of the contributions that all the branches of the church have made to the story of what it means to develop, deliver, and listen to a sermon, A History of Preachingwill be the definitive resource for anyone who wishes to preach or to understand preaching's role in living out the gospel. ""...'This work is expected to be the standard text on preaching for the next 30 years,' says Ann K. Riggs, who staffs the NCC's Faith and Order Commission. Author Edwards, former professor of preaching at Seabury-Western Theological Seminary, is co-moderator of the commission, which studies church-uniting and church-dividing issues. 'A History of Preaching is ecumenical in scope and will be relevant in all our churches; we all participate in this field,' says Riggs...."" from EcuLink, Number 65, Winter 2004-2005 published by the National Council of Churches","O.C. Edwards, Jr.",http://books.google.com/books/content?id=_bSxuXz_fIYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=_bSxuXz_fIYC&pg=PT302&dq=Convincing+Minds+and+Moving+Hearts&hl=&cd=1&source=gbs_api,Abingdon Press,2010-09-01,http://books.google.nl/books?id=_bSxuXz_fIYC&dq=Convincing+Minds+and+Moving+Hearts&hl=&source=gbs_api,1.0,5.95
The tower of Babel,"""Master Books is a divison of the New Leaf Publishing Group, Inc.""--Title page verso.",Bodie Hodge,http://books.google.com/books/content?id=sBE99WGQvpYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=sBE99WGQvpYC&printsec=frontcover&dq=The+tower+of+Babel&hl=&cd=1&source=gbs_api,New Leaf Publishing Group,2013-03-01,http://books.google.com/books?id=sBE99WGQvpYC&dq=The+tower+of+Babel&hl=&source=gbs_api,5.0,29.704370023320795
Before dawn,"Recovering from the recent suicide of her ex-boyfriend, senior class president Keisha Montgomery finds herself attracted to a dangerous, older man.",Sharon M. Draper,http://books.google.com/books/content?id=RXkVAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RXkVAAAAQBAJ&printsec=frontcover&dq=Before+dawn&hl=&cd=1&source=gbs_api,Simon and Schuster,2013-07-23,http://books.google.com/books?id=RXkVAAAAQBAJ&dq=Before+dawn&hl=&source=gbs_api,5.0,29.704370023320795
Polar Express,"The Polar Express is the perfect gift for all those—of any age—who believe, come Christmas Eve, that they too will hear the sweet sound of a reindeer’s silver bell. A young boy, lying awake one Christmas Eve, is welcomed aboard a magical train to the North Pole . . . Through dark forests, over tall mountains, and across a barren desert of ice, the Polar Express makes its way to the huge city standing alone at the top of the world, where the boy will make his Christmas wish. For millions of readers around the world, this mysterious journey to the North Pole has become a beloved Christmas classic. The Polar Express is a Caldecott Medal winner, and reading the story together is a beloved holiday tradition held by generations of families. It has also become a favorite holiday movie and been translated into stage productions that take place across the United States during the holiday season.",Chris Van Allsburg,http://books.google.com/books/content?id=sbogAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=sbogAgAAQBAJ&printsec=frontcover&dq=Polar+Express&hl=&cd=1&source=gbs_api,HarperCollins,2015-09-15,http://books.google.nl/books?id=sbogAgAAQBAJ&dq=Polar+Express&hl=&source=gbs_api,4.0,29.704370023320795
The Historic King Arthur: Authenticating the Celtic Hero of Post-Roman Britain,"Using a collection of primary documents from post-Roman Britain, argues that the legendary hero, King Arthur, was a historical person who became king of Britain as Ambrosius Aurelianus at age fifteen.",Frank D. Reno,http://books.google.com/books/content?id=V4-bzmtrFnwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=V4-bzmtrFnwC&printsec=frontcover&dq=The+Historic+King+Arthur:+Authenticating+the+Celtic+Hero+of+Post-Roman+Britain&hl=&cd=1&source=gbs_api,McFarland,1996-09-01,http://books.google.nl/books?id=V4-bzmtrFnwC&dq=The+Historic+King+Arthur:+Authenticating+the+Celtic+Hero+of+Post-Roman+Britain&hl=&source=gbs_api,1.0,29.704370023320795
Quietly Comes the Buddha,"One born to be the Buddha was Siddhartha Gautama who lived six centuries before Jesus Christ. Of royal lineage, he set out to discover the cause of old age, disease and death. He communed under the bo tree for forty-nine days and brought forth out of nirvana - the message of the Enlightened One. This book talks about the Buddha.",Elizabeth Clare Prophet,http://books.google.com/books/content?id=0vNzSe2Jl18C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=0vNzSe2Jl18C&printsec=frontcover&dq=Quietly+Comes+the+Buddha&hl=&cd=1&source=gbs_api,Summit University Press,2000-01,http://books.google.nl/books?id=0vNzSe2Jl18C&dq=Quietly+Comes+the+Buddha&hl=&source=gbs_api,1.0,29.704370023320795
Peripheral Visions: Learning Along the Way,"Mary Catherine Bateson, author of Composing a Life, is our guide on a fascinating intellectual exploration of lifetime learning from experience and encountering the unfamiliar. Peripheral Visions begins with a sacrifice in a Persian garden, moving on to a Philippine village and then to the Sinai desert, and concludes with a description of a tour bus full of Tibetan monks. Bateson's reflections bring theses narratives homes, proposing surprising new vision of our own diverse and changing society and offering us the courage to participate even as we are still learning.",Mary C. Bateson,http://books.google.com/books/content?id=08dlsDnYm6oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=08dlsDnYm6oC&printsec=frontcover&dq=Peripheral+Visions:+Learning+Along+the+Way&hl=&cd=1&source=gbs_api,Harper Collins,2009-10-13,https://play.google.com/store/books/details?id=08dlsDnYm6oC&source=gbs_api,1.0,29.704370023320795
The American West as Living Space,A passionate work about the fragile and arid West that Stegner loves,Wallace Stegner,http://books.google.com/books/content?id=oZWbuDmo6LMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=oZWbuDmo6LMC&printsec=frontcover&dq=The+American+West+as+Living+Space&hl=&cd=1&source=gbs_api,University of Michigan Press,1987,http://books.google.com/books?id=oZWbuDmo6LMC&dq=The+American+West+as+Living+Space&hl=&source=gbs_api,1.0,17.64
Customer Service for Dummies,"Customer Service For Dummies, Third Edition integrates the unbeatable information from Customer Service For Dummies and Online Customer Service For Dummies to form an all-in-one guide to customer loyalty for large and small businesses alike. The book covers the fundamentals of service selling and presents up-to-date advice on such fundamentals as help desks, call centers, and IT departments. Plus, it shows readers how to take stock of their customer service strengths and weaknesses, create useful customer surveys, and learn from the successes and failures of businesses just like theirs. Karen Leland and Keith Bailey (Sausalito, CA) are cofounders of Sterling Consulting Group, an international consulting firm specializing in quality service consulting and training for such clients as Oracle, IBM, Avis, and Lucent.","Karen Leland, Keith Bailey",http://books.google.com/books/content?id=IxzVDWOFhQsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=IxzVDWOFhQsC&printsec=frontcover&dq=Customer+Service+for+Dummies&hl=&cd=1&source=gbs_api,John Wiley & Sons,2011-03-03,http://books.google.com/books?id=IxzVDWOFhQsC&dq=Customer+Service+for+Dummies&hl=&source=gbs_api,2.0,29.704370023320795
Irish Eyes (Palisades Pure Romance),"From the moment she first speaks to him, Julia knows the boy camped under the Lucky Jackpot Lottery billboard is hiding something. Her suspicions are confirmed when, just before he's hauled away by a policeman, the child quietly begs her to dig up his ""treasure"" under the billboard. She does as he asks-and discovers a genuine pot of gold!",Annie Jones,http://books.google.com/books/content?id=91Z18yPCRm4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=91Z18yPCRm4C&q=Irish+Eyes+(Palisades+Pure+Romance)&dq=Irish+Eyes+(Palisades+Pure+Romance)&hl=&cd=1&source=gbs_api,Palisades,1997,http://books.google.com/books?id=91Z18yPCRm4C&dq=Irish+Eyes+(Palisades+Pure+Romance)&hl=&source=gbs_api,1.0,29.704370023320795
The Faith Explained,"The Faith Explained is an all-in-one handbook to help you understand, explain, and defend the great truths of the Catholic Faith. In brief and readable chapters, it explains the purpose of human existence, God and His perfections, the creation and fall of man, the Incarnation, the redemption, the sacraments, sacramentals, prayer, the importance of the Bible, and much more. Perfect for RCIA classes, this book is also a magnificent refresher course on the Faith for Catholics and an illuminating resource for non-Catholics with questions about the Church.",Leo J. Trese,http://books.google.com/books/content?id=lKMnN-Pa50cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=lKMnN-Pa50cC&printsec=frontcover&dq=The+Faith+Explained&hl=&cd=1&source=gbs_api,Scepter Publishers,2003,http://books.google.com/books?id=lKMnN-Pa50cC&dq=The+Faith+Explained&hl=&source=gbs_api,4.0,29.704370023320795
Bank Job,"Nell has been in foster homes all her life—most of them have been horrible. She finally gets moved to a home she likes, and the ministry threatens to close it down unless an expensive renovation is made to the house. Nell and the two boys in the home, Billy and Tom, decide to raise the funds themselves. How do kids get large amounts of money quickly? By robbing banks, of course. Their first few heists are successful, but when they almost get caught on their sixth robbery, the friends start to fight about whether they should continue. The bank jobs that were meant to keep their family together just might tear it apart.","James Heneghan, Norma Charles",http://books.google.com/books/content?id=CepeNJuISikC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=CepeNJuISikC&pg=PA83&dq=Bank+Job&hl=&cd=1&source=gbs_api,Orca Book Publishers,2009-04-01,https://play.google.com/store/books/details?id=CepeNJuISikC&source=gbs_api,1.0,18.72
Mary the Mother of Jesus,"A beautifully illustrated picture book portrayal of the life of Mary, mother of Jesus Mary has captured the hearts of people throughout the centuries. Great cathedrals have been built in her honor. Many Christians venerate her image. Nearly 80,000 visions of Mary have been claimed since the third century AD. Drawing on scripture, legend, and tradition, Tomie dePaola re-tells the story of Mary’s life in fifteen beautifully illustrated, child-friendly segments. This is a fixed-format ebook, which preserves the design and layout of the original print book.",Tomie dePaola,http://books.google.com/books/content?id=e-O-KGRMpnwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=e-O-KGRMpnwC&pg=PP1&dq=Mary+the+Mother+of+Jesus&hl=&cd=1&source=gbs_api,Open Road Media,2013-06-18,http://books.google.com/books?id=e-O-KGRMpnwC&dq=Mary+the+Mother+of+Jesus&hl=&source=gbs_api,1.0,29.704370023320795
Red Hugh,"Here's another one of those 'They could make it into a movie!' books that keeps you always wanting to read just one more chapter. Red Hugh was a true champion for Irish liberty from Queen Elizabeth's constricting reign in the late 1580's and beyond. Hugh's capture, imprisonment, and escape from the Dublin Castle; his triumph over a blizzard and frostbite; his dramatic rescue of his family's castle; his conflict with the evil Captain Leeds; and his inexhaustible love for Ireland make this a wonderful read-aloud book for the entire family. You learn an astonishing amount of Irish geography and culture while relishing this true adventure, as well.",Robert T Reilly,http://books.google.com/books/content?id=ZfeEAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=ZfeEAQAAQBAJ&printsec=frontcover&dq=Red+Hugh&hl=&cd=1&source=gbs_api,Bethlehem Books,1997-08-01,http://books.google.nl/books?id=ZfeEAQAAQBAJ&dq=Red+Hugh&hl=&source=gbs_api,2.0,29.704370023320795
Pussy Willow (Little golden books),A little cat searches for a year before spring comes again and he finds the pussy willows for which he named himself.,Margaret Wise Brown,http://books.google.com/books/content?id=eoMz96LCR4EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=eoMz96LCR4EC&q=Pussy+Willow+(Little+golden+books)&dq=Pussy+Willow+(Little+golden+books)&hl=&cd=1&source=gbs_api,Golden Books,1997,http://books.google.com/books?id=eoMz96LCR4EC&dq=Pussy+Willow+(Little+golden+books)&hl=&source=gbs_api,1.0,29.704370023320795
The Middle Ground,"An acclaimed book and widely acknowledged classic, The Middle Ground steps outside the simple stories of Indian-white relations - stories of conquest and assimilation and stories of cultural persistence. It is, instead, about a search for accommodation and common meaning. It tells how Europeans and Indians met, regarding each other as alien, as other, as virtually nonhuman, and how between 1650 and 1815 they constructed a common, mutually comprehensible world in the region around the Great Lakes that the French called pays d'en haut. Here the older worlds of the Algonquians and of various Europeans overlapped, and their mixture created new systems of meaning and of exchange. Finally, the book tells of the breakdown of accommodation and common meanings and the re-creation of the Indians as alien and exotic. First published in 1991, the 20th anniversary edition includes a new preface by the author examining the impact and legacy of this study.",Richard White,http://books.google.com/books/content?id=fHLfiOZVzmMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=fHLfiOZVzmMC&printsec=frontcover&dq=The+Middle+Ground&hl=&cd=1&source=gbs_api,Cambridge University Press,2010-11-01,https://play.google.com/store/books/details?id=fHLfiOZVzmMC&source=gbs_api,5.0,29.704370023320795
US Submarines 1941-45 (New Vanguard),"Naval warfare in the Pacific changed completely with the Japanese attack on Pearl Harbor in 1941. The strategic emphasis shifted from battleships to much more lethal, far-ranging weapons systems; one of these was the submarine. This book details the design and development, classes, weapons and equipment, tactics and operational history of the US submarine in World War II. Detailed tables, photographs, and superb color plates depict the force that had an effect far beyond its size - the submarine accounted for 55% of all Japanese shipping losses, despite suffering the highest percentage loss of any unit of the United State Armed Forces in World War II.",Jim Christley,http://books.google.com/books/content?id=Q9M3vgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Q9M3vgAACAAJ&dq=US+Submarines+1941-45+(New+Vanguard)&hl=&cd=1&source=gbs_api,Osprey Publishing,2006-01-31,http://books.google.com/books?id=Q9M3vgAACAAJ&dq=US+Submarines+1941-45+(New+Vanguard)&hl=&source=gbs_api,1.0,17.95
Brazil: A Cook's Tour,Describes the varied food and lifestyles of Brazil and presents recipes for traditional and local dishes,Christopher Idone,http://books.google.com/books/content?id=3mNjAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=3mNjAAAAMAAJ&dq=Brazil:+A+Cook%27s+Tour&hl=&cd=1&source=gbs_api,Clarkson Potter,1995,http://books.google.com/books?id=3mNjAAAAMAAJ&dq=Brazil:+A+Cook%27s+Tour&hl=&source=gbs_api,2.0,23.86
Seduction Of The Minotaur -,"""Seduction of the Minotaur is the fifth and final volume of Anaèis Nin's continuous novel known as Cities of the Interior. First published by Swallow Press in 1961, the story follows the travels of the protagonist Lillian through the tropics to a Mexicancity loosely based on Acapulco, which Nin herself visited in 1947 and described in the fifth volume of her Diary. As Lillian seeks the warmth and sensuality of this lush and intriguing city, she travels inward as well, learning that to free herself she must free the ""monster"" that has been confined in a labyrinth of her subconscious. This new Swallow Press edition includes an introduction by Anita Jarczok""--",Anaïs Nin,http://books.google.com/books/content?id=Fs3jnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Fs3jnQEACAAJ&dq=Seduction+Of+The+Minotaur+-&hl=&cd=1&source=gbs_api,Swallow Press,2014,http://books.google.com/books?id=Fs3jnQEACAAJ&dq=Seduction+Of+The+Minotaur+-&hl=&source=gbs_api,2.0,29.704370023320795
More Than Meets The Eye: Fascinating Glimpses of God's Power and Design,"The author, a doctor, probes creation for evidence of God's design in the world and finds it in the details of our biological makeup and the natural world. Original.",Richard A. Swenson,http://books.google.com/books/content?id=DFeVvwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=DFeVvwEACAAJ&dq=More+Than+Meets+The+Eye:+Fascinating+Glimpses+of+God%27s+Power+and+Design&hl=&cd=1&source=gbs_api,Navpress Publishing Group,2000,http://books.google.com/books?id=DFeVvwEACAAJ&dq=More+Than+Meets+The+Eye:+Fascinating+Glimpses+of+God%27s+Power+and+Design&hl=&source=gbs_api,5.0,9.92
FOUL MEANS,"Challenging the generally accepted belief that the introduction of racial slavery to America was an unplanned consequence of a scarce labor market, Anthony Parent, Jr., contends that during a brief period spanning the late seventeenth and early eighteenth centuries a small but powerful planter class, acting to further its emerging economic interests, intentionally brought racial slavery to Virginia. Parent bases his argument on three historical developments: the expropriation of Powhatan lands, the switch from indentured to slave labor, and the burgeoning tobacco trade. He argues that these were the result of calculated moves on the part of an emerging great planter class seeking to consolidate power through large landholdings and the labor to make them productive. To preserve their economic and social gains, this planter class inscribed racial slavery into law. The ensuing racial and class tensions led elite planters to mythologize their position as gentlemen of pastoral virtue immune to competition and corruption. To further this benevolent image, they implemented a plan to Christianize slaves and thereby render them submissive. According to Parent, by the 1720s the Virginia gentry projected a distinctive cultural ethos that buffered them from their uncertain hold on authority, threatened both by rising imperial control and by black resistance, which exploded in the Chesapeake Rebellion of 1730.",Anthony S. Parent Jr.,http://books.google.com/books/content?id=Y6QVAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Y6QVAgAAQBAJ&printsec=frontcover&dq=FOUL+MEANS&hl=&cd=1&source=gbs_api,UNC Press Books,2012-12-01,https://play.google.com/store/books/details?id=Y6QVAgAAQBAJ&source=gbs_api,2.0,29.704370023320795
My Official Parenting Handbook,"America's foremost baby and childcare experts, William Sears M.D. and Martha Sears, R.N., explain the benefits -- for both you and your child -- of connecting with your baby early. Would you and your baby both sleep better if you shared a bed? How old is too old for breastfeeding? What is a father's role in nurturing a newborn? How does early attachment foster a child's eventual independence? Dr. Bill and Martha Sears -- the doctor-and-nurse, husband-and-wife team who coined the term ""attachment parenting"" -- answer these and many more questions in this practical, inspiring guide. Attachment parenting is a style of parenting that encourages a strong early attachment, and advocates parental responsiveness to babies' dependency needs. The Attachment Parenting Book clearly explains the six ""Baby B's"" that form the basis of this popular parenting style: Bonding, Breastfeeding, Babywearing, Bedding close to baby, Belief in the language value of baby's cry, and Beware of baby trainers. Here's all the information you need to achieve your most important goals as a new parent: to know your child, to help your child feel right, and to enjoy parenting.","William Sears, Martha Sears",http://books.google.com/books/content?id=oKc9UpO2TiAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=oKc9UpO2TiAC&printsec=frontcover&dq=My+Official+Parenting+Handbook&hl=&cd=1&source=gbs_api,"Little, Brown Spark",2001-09-01,https://play.google.com/store/books/details?id=oKc9UpO2TiAC&source=gbs_api,5.0,21.95
"The Natural Pregnancy Book: Herbs, Nutrition, and Other Holistic Choices","Reading The Natural Pregnancy Book is like having your own personal herbalist and midwife at your side. Expertly written by Aviva Jill Romm, who has been providing family-centered natural health care for almost twenty years, it guides women through treating the common ills and ailments of pregnancy simply with herbs and nutrition. Aviva thoughtfully follows the woman's journey from baby's conception to birth, describing herbs that can promote and maintain a healthy pregnancy, along with those you should avoid during your term. Her herbal remedies cover such familiar concerns as anxiety, fatigue, morning sickness, and stretch marks. She also discusses the components of a healthy diet, with an emphasis on natural foods. With its detailed information and comforting voice, The Natural Pregnancy Book is a complete primer for the woman who envisions a safe pregnancy as nature intended it.",Aviva Jill Romm,http://books.google.com/books/content?id=3U8Rjvyp4AMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=3U8Rjvyp4AMC&printsec=frontcover&dq=The+Natural+Pregnancy+Book:+Herbs,+Nutrition,+and+Other+Holistic+Choices&hl=&cd=1&source=gbs_api",Celestial Arts,2011-08-17,"http://books.google.com/books?id=3U8Rjvyp4AMC&dq=The+Natural+Pregnancy+Book:+Herbs,+Nutrition,+and+Other+Holistic+Choices&hl=&source=gbs_api",1.0,12.23
ThinkPad: A Different Shade of Blue,"Seven years ago, IBM didn't even have a portable computer product. As the story unfolds, Dell and Purdy reveal a rare inside view on how IBM created and made ThinkPad the most successful brand in history.","Deborah A. Dell, J. Gerry Purdy",http://books.google.com/books/content?id=Y461AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Y461AAAAIAAJ&q=ThinkPad:+A+Different+Shade+of+Blue&dq=ThinkPad:+A+Different+Shade+of+Blue&hl=&cd=1&source=gbs_api,Sams Publishing,2000,http://books.google.com/books?id=Y461AAAAIAAJ&dq=ThinkPad:+A+Different+Shade+of+Blue&hl=&source=gbs_api,1.0,29.704370023320795
"The Poetics of Mind: Figurative Thought, Language, and Understanding","In this bold new work, Ray Gibbs demonstrates that human cognition is deeply poetic and that figurative imagination constitutes the way we understand ourselves and the world in which we live.","Raymond W. Gibbs, Jr, Raymond W. Gibbs, Jr. Gibbs",http://books.google.com/books/content?id=4kVJAMghNmUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=4kVJAMghNmUC&printsec=frontcover&dq=The+Poetics+of+Mind:+Figurative+Thought,+Language,+and+Understanding&hl=&cd=1&source=gbs_api",Cambridge University Press,1994-08-26,"http://books.google.com/books?id=4kVJAMghNmUC&dq=The+Poetics+of+Mind:+Figurative+Thought,+Language,+and+Understanding&hl=&source=gbs_api",1.0,131.0
"Hate Crime: The Story of a Dragging in Jasper, Texas","On June 7, 1998, James Byrd, Jr., a forty-nine-year-old black man, was dragged to his death while chained to the back of a pickup truck driven by three young white men. It happened just outside of Jasper, a sleepy East Texas logging town that, within twenty-four hours of the discovery of the murder, would be inextricably linked in the nation’s imagination to an exceptionally brutal, modern-day lynching. In this superbly written examination of the murder and its aftermath, award-winning journalist Joyce King brings us on a journey that begins at the crime scene and extends into the minds of the young men who so casually ended a man’s life. She takes us inside the prison in which two of them met for the first time, and she shows how it played a major role in shaping their attitudes—racial and otherwise. The result is a deeply engrossing psychological portrait of the accused and a powerful indictment of the American prison system’s ability to reform criminals. Finally, King writes with candor and clarity about how the events of that fateful night have affected her—as a black woman, a native Texan, and a journalist given the agonizing assignment of covering the trials of all three defendants. More than a spectacular true-crime debut, Hate Crime is a breathtaking work of reportage and a searing look at how the question of race continues to shape life in America.",Joyce King,http://books.google.com/books/content?id=5dAcejIl6oMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=5dAcejIl6oMC&printsec=frontcover&dq=Hate+Crime:+The+Story+of+a+Dragging+in+Jasper,+Texas&hl=&cd=1&source=gbs_api",Anchor,2011-11-30,https://play.google.com/store/books/details?id=5dAcejIl6oMC&source=gbs_api,1.0,10.4
The Big Oyster: History on the Half Shell,"“Part treatise, part miscellany, unfailingly entertaining.” –The New York Times “A small pearl of a book . . . a great tale of the growth of a modern city as seen through the rise and fall of the lowly oyster.” –Rocky Mountain News Award-winning author Mark Kurlansky tells the remarkable story of New York by following the trajectory of one of its most fascinating inhabitants–the oyster. For centuries New York was famous for this particular shellfish, which until the early 1900s played such a dominant a role in the city’s life that the abundant bivalves were Gotham’s most celebrated export, a staple food for all classes, and a natural filtration system for the city’s congested waterways. Filled with cultural, historical, and culinary insight–along with historic recipes, maps, drawings, and photos–this dynamic narrative sweeps readers from the seventeenth-century founding of New York to the death of its oyster beds and the rise of America’s environmentalist movement, from the oyster cellars of the rough-and-tumble Five Points slums to Manhattan’s Gilded Age dining chambers. With The Big Oyster, Mark Kurlansky serves up history at its most engrossing, entertaining, and delicious. “Suffused with [Kurlansky’s] pleasure in exploring the city across ground that hasn’t already been covered with other writers’ footprints.” –Los Angeles Times Book Review “Fascinating stuff . . . [Kurlansky] has a keen eye for odd facts and natural detail.” –The Wall Street Journal “Kurlansky packs his breezy book with terrific anecdotes.” –Entertainment Weekly “Magnificent . . . a towering accomplishment.” –Associated Press",Mark Kurlansky,http://books.google.com/books/content?id=FCyODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=FCyODQAAQBAJ&printsec=frontcover&dq=The+Big+Oyster:+History+on+the+Half+Shell&hl=&cd=1&source=gbs_api,Random House Trade Paperbacks,2007-01-09,http://books.google.com/books?id=FCyODQAAQBAJ&dq=The+Big+Oyster:+History+on+the+Half+Shell&hl=&source=gbs_api,1.0,29.704370023320795
